Hora,Demanda,Autogeneración,Sol
0.0,0.8713608666215302,0.0,0.0
1.0,0.8713608666215302,0.0,0.0
2.0,0.8713608666215302,0.0,0.0
3.0,0.8713608666215302,0.0,0.0
4.0,0.8713608666215302,0.0,0.0
5.0,0.8713608666215302,0.0,0.0
6.0,1.079891672308734,0.0,0.0
7.0,1.2884224779959381,2.6087187369067686,0.034074173679555494
8.0,1.2884224779959381,5.039657605104205,0.06582624876050425
9.0,6.772286165651095,7.127152133851709,0.09309237374414457
10.0,6.772286165651095,8.728942994682633,0.11401440693159134
11.0,6.772286165651095,9.735870909038477,0.12716654792370005
12.0,6.911306702775898,10.079315240832411,0.1316524979210085
13.0,6.772286165651095,9.735870909038477,0.12716654792370005
14.0,6.772286165651095,8.728942994682633,0.11401440693159134
15.0,6.772286165651095,7.127152133851709,0.09309237374414457
16.0,6.772286165651095,5.039657605104205,0.06582624876050425
17.0,1.357932746558339,2.6087187369067686,0.034074173679555494
18.0,1.8445046264951475,1.234360112619384e-15,1.612278099032633e-17
19.0,1.8445046264951475,0.0,0.0
20.0,1.6359738208079442,0.0,0.0
21.0,1.1494019408711351,0.0,0.0
22.0,1.1494019408711351,0.0,0.0
23.0,1.1494019408711351,0.0,0.0
