Hora,Demanda,Autogeneración,Sol
0.0,0.8713608666215302,0.0,0.0
1.0,0.8713608666215302,0.0,0.0
2.0,0.8713608666215302,0.0,0.0
3.0,0.8713608666215302,0.0,0.0
4.0,0.8713608666215302,0.0,0.0
5.0,0.8713608666215302,0.0,0.0
6.0,1.079891672308734,0.0,0.0
7.0,1.2884224779959381,2.6986745579057914,0.03407417371093171
8.0,1.2884224779959381,5.213438904460875,0.06582624879369792
9.0,6.772286165651095,7.372916005292101,0.09309237380419319
10.0,6.772286165651095,9.029941064682463,0.11401440738235433
11.0,6.772286165651095,10.071590563197892,0.1271665475151249
12.0,6.911306702775898,10.426877808921752,0.13165249758739586
13.0,6.772286165651095,10.071590563197892,0.1271665475151249
14.0,6.772286165651095,9.029941064682465,0.11401440738235434
15.0,6.772286165651095,7.372916005292102,0.0930923738041932
16.0,6.772286165651095,5.213438904460875,0.06582624879369792
17.0,1.357932746558339,2.698674557905795,0.03407417371093175
18.0,1.8445046264951475,1.276924253379659e-15,1.6122780977015897e-17
19.0,1.8445046264951475,0.0,0.0
20.0,1.6359738208079442,0.0,0.0
21.0,1.1494019408711351,0.0,0.0
22.0,1.1494019408711351,0.0,0.0
23.0,1.1494019408711351,0.0,0.0
