Hora,Demanda,Autogeneración,Sol
0.0,0.8713608666215302,0.0,0.0
1.0,0.8713608666215302,0.0,0.0
2.0,0.8713608666215302,0.0,0.0
3.0,0.8713608666215302,0.0,0.0
4.0,0.8713608666215302,0.0,0.0
5.0,0.8713608666215302,0.0,0.0
6.0,1.079891672308734,0.0,0.0
7.0,1.2884224779959381,0.8096023673717374,0.03407417371093171
8.0,1.2884224779959381,1.5640316713382627,0.06582624879369792
9.0,6.772286165651095,2.2118748015876304,0.09309237380419319
10.0,6.772286165651095,2.708982319404739,0.11401440738235433
11.0,6.772286165651095,3.021477168959368,0.1271665475151249
12.0,6.911306702775898,3.128063342676526,0.13165249758739586
13.0,6.772286165651095,3.021477168959368,0.1271665475151249
14.0,6.772286165651095,2.7089823194047393,0.11401440738235434
15.0,6.772286165651095,2.211874801587631,0.0930923738041932
16.0,6.772286165651095,1.5640316713382627,0.06582624879369792
17.0,1.357932746558339,0.8096023673717384,0.03407417371093175
18.0,1.8445046264951475,3.8307727601389773e-16,1.6122780977015897e-17
19.0,1.8445046264951475,0.0,0.0
20.0,1.6359738208079442,0.0,0.0
21.0,1.1494019408711351,0.0,0.0
22.0,1.1494019408711351,0.0,0.0
23.0,1.1494019408711351,0.0,0.0
